reference,modification,filename,spl_db,loudness_sone,sharpness_acum,roughness_asper,sii
adult_female_speech,am70_d05,adult_female_speech__am70_d05.wav,70.52925050804623,20.2,1.4279410687970777,1.2802554965315889,0.031488390143086485
adult_female_speech,am70_d10,adult_female_speech__am70_d10.wav,71.78905746577924,21.95,1.4256897571276324,2.7868803772582247,0.019790741123670248
adult_female_speech,baseline,adult_female_speech__baseline.wav,70.00000188211172,19.5,1.4258084546152479,0.45453955684236597,0.036831249957788956
adult_female_speech,level_m3,adult_female_speech__level_m3.wav,66.99999948771323,16.09,1.4193834845996967,0.4179021206697457,0.07544828149603601
adult_female_speech,level_m6,adult_female_speech__level_m6.wav,64.00000539645157,13.202,1.4057188157990732,0.3808559334985282,0.14584288566603254
adult_female_speech,level_p3,adult_female_speech__level_p3.wav,73.00000332648713,23.59,1.4301587375102018,0.4908387787247802,0.011658278397125448
adult_female_speech,level_p6,adult_female_speech__level_p6.wav,76.00000236095595,28.49,1.4360996861655009,0.5259807864300673,0.00028419797139210914
adult_female_speech,lp_1kHz,adult_female_speech__lp_1kHz.wav,69.49852884226152,11.038,0.5749904802184943,0.17421409359833184,0.5784869502996125
adult_female_speech,lp_2kHz,adult_female_speech__lp_2kHz.wav,69.81668275087932,14.732,0.7739877085760537,0.3312117354186888,0.27990363233121157
adult_female_speech,lp_4kHz,adult_female_speech__lp_4kHz.wav,69.94859870973869,17.47,0.9902345876438823,0.4161355031231378,0.08257689349461311
livelypublicgarden,am70_d05,livelypublicgarden__am70_d05.wav,70.51659415606522,22.26,1.3695229886579385,0.5799761645582932,0.01094573214371064
livelypublicgarden,am70_d10,livelypublicgarden__am70_d10.wav,71.75252826497696,24.08,1.3695615053728782,2.3053200368399946,0.0033316029755692334
livelypublicgarden,baseline,livelypublicgarden__baseline.wav,70.00000294642889,21.55,1.3688025343924655,0.0812889897305282,0.015939194650086044
livelypublicgarden,level_m3,livelypublicgarden__level_m3.wav,66.99999978032535,17.79,1.3667392534985867,0.07698623993643898,0.04984211786109015
livelypublicgarden,level_m6,livelypublicgarden__level_m6.wav,64.00000238969582,14.613,1.3599315321182166,0.07306335120934804,0.096196575192493
livelypublicgarden,level_p3,livelypublicgarden__level_p3.wav,73.0000014451134,26.05,1.3692239823105112,0.08647469507345734,0.0011077362654433025
livelypublicgarden,level_p6,livelypublicgarden__level_p6.wav,76.0000037084386,31.38,1.3723111755112054,0.09176701641371797,0.0
livelypublicgarden,lp_1kHz,livelypublicgarden__lp_1kHz.wav,68.71673257101111,10.786,0.5521099326249909,0.07391765461524162,0.5344585846316755
